Sioux City,1.39945162715125e-18
Lewisburg,1.39945162715125e-18
Waterloo,1.39945162715125e-18
Meridian,1.39945162715125e-18
Islip,1.39945162715125e-18
Baton Rouge,1.3980507476725e-18
Bellingham,1.3055537708400001e-18
Juneau,1.3055537708400001e-18
Missoula,1.232887856115e-18
Lake Charles,1.169185103735e-18
Brownsville,1.169185103735e-18
Mobile,1.169185103735e-18
Laredo,1.0671807237899999e-18
Augusta,9.7704121106125e-19
Amarillo,9.65176343845e-19
Killeen,9.65176343845e-19
Bakersfield,8.450654241724997e-19
College Station,8.383150798524999e-19
Billings,7.796381494125e-19
Alexandria,7.1145381586e-19
Tyler,6.343063199624999e-19
Durango,6.0944943591499995e-19
Abilene,5.074450559699999e-19
Monroe,4.825881719225e-19
San Angelo,3.805837919775e-19
Lawton,3.805837919775e-19
Wichita,3.805837919775e-19
Wichita Falls,3.805837919775e-19
Fort Smith,3.805837919775e-19
Montgomery,3.805837919775e-19
Gunnison,3.5572690793000003e-19
Helena,3.2638844271000004e-19
Grand Junction,2.5372252798499997e-19
Santa Fe,2.5372252798499997e-19
Texarkana,2.5372252798499997e-19
Roswell,2.5372252798499997e-19
Hobbs,2.288656439375e-19
Ithaca,1.701887134975e-19
Cheyenne,1.2686126399249999e-19
Waco,1.2686126399249999e-19
Tallahassee,1.2686126399249999e-19
Rapid City,1.2686126399249999e-19
Flagstaff,1.2686126399249999e-19
Garden City,1.2686126399249999e-19
Gainesville,1.2686126399249999e-19
Grand Island,1.2686126399249999e-19
Yum,1.2686126399249999e-19
Alpena,8.509435674875e-20
Newburgh,8.509435674875e-20
Escanaba,8.509435674875e-20
Pellston,8.509435674875e-20
Binghamton,8.509435674875e-20
